Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Sixth Image,Seventh Image,Eighth Image,Price,Value of Discount,Collar,Sleeve
پبراهن مردانه کامیچی سیما مدل CCCRCEPBG,https://rosha.ir/cm-cccrcepbg-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_cccrcepbg.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_cccrcepbg.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_cccrcepbg.jpg,[],[],[],[],[],10900000,10900000,بلند,[]
پبراهن مردانه کامیچی سیما مدل CCCELDABG,https://rosha.ir/cm-ccceldabg-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_ccceldabg.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_ccceldabg.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_ccceldabg.jpg,[],[],[],[],[],10900000,10900000,بلند,[]
پبراهن مردانه کامیچی سیما مدل CCCSLDABG,https://rosha.ir/cm-cccsldabg-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_cccsldabg.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_cccsldabg.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_cccsldabg.jpg,[],[],[],[],[],10900000,10900000,بلند,[]
پبراهن مردانه کامیچی سیما مدل CCCRLDPBG,https://rosha.ir/cm-cccrldpbg-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_cccrldpbg.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_cccrldpbg.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_cccrldpbg.jpg,[],[],[],[],[],10900000,10900000,بلند,[]
پبراهن مردانه کامیچی سیما مدل CCCRCDPBG,https://rosha.ir/cm-cccrcdpbg-camicissima-mens-formal-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_cccrcdpbg.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/c/m/cm_cccrcdpbg.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/c/m/cm_cccrcdpbg.jpg,[],[],[],[],[],10900000,10900000,بلند,[]
blue,https://rosha.ir/oe-2120106-corum-mens-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2120106.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2120106.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/o/e/oe_2120106.jpg,[],[],[],[],[],9890000,9890000,بلند,[]
blue,https://rosha.ir/oe-2120102-corum-mens-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2120102.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2120102.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/o/e/oe_2120102.jpg,[],[],[],[],[],9890000,9890000,بلند,[]
blue,https://rosha.ir/oe-2020111-corum-mens-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2020111.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2020111.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/o/e/oe_2020111.jpg,[],[],[],[],[],9490000,9490000,بلند,[]
پیراهن مردانه کروم مدل OE_2120109,https://rosha.ir/oe-2120109-corum-mens-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2120109.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2120109.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/o/e/oe_2120109.jpg,[],[],[],[],[],8890000,8890000,بلند,[]
dark grey,https://rosha.ir/oe-2120108-corum-mens-shirt.html,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2120108.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/o/e/oe_2120108.jpg,https://rosha.ir/media/catalog/product/cache/3/thumbnail/100x100/9df78eab33525d08d6e5fb8d27136e95/o/e/oe_2120108.jpg,[],[],[],[],[],8890000,8890000,بلند,[]
