Name,Main Web Page,Main Image,Second Image,Third Image,Fourth Image,Fifth Image,Price,Discounted price
تی شرت Oversize طرح Bear,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-bear/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-20.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح Stay Strong,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-stay-strong-2/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-19.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح Side B,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-side-b/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-18.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح science,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-science/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-17.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح lion,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-lion/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-16.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح Jungle,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-jungle/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-15.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح fall,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-fall/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-13.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح friday,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-friday/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-12.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح supreme,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-supreme/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-11.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح among us,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-among-us/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-10.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح female,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-female/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-9.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح Cassette,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-cassette/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-8.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح yoga,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-yoga/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-7.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح destroy,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-destroy/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-6.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح whatever,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-whatever/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-5.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح XO,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-xo/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-4.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح unicorn,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-unicorn/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-3.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح got,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-got/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-2.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح surf,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-surf/,http://www.ustclothing.com/wp-content/uploads/2021/03/j-1.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح teddy,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-teddy-5/,http://www.ustclothing.com/wp-content/uploads/2021/03/teddy-5.jpg,[],[],[],[],2250000,2250000
تی شرت Oversize طرح teddy,http://www.ustclothing.com/product/%d9%85%d8%ad%d8%b5%d9%88%d9%84%d8%a7%d8%aa/%d8%aa%db%8c-%d8%b4%d8%b1%d8%aa-oversize-%d8%b7%d8%b1%d8%ad-teddy-4/,http://www.ustclothing.com/wp-content/uploads/2021/03/teddy-4.jpg,[],[],[],[],2250000,2250000
